pid,pid_s,coupleid,countyid14,gender,age,edu,han_race,hukou,kids,income,fincome_per,urban,marriage_sat,secon_sat,shw_sat,division,hwh,work_only,femma,c_childage_min,c_elderpres,c_elderage_min,c_elderage_max
3316,3317,3826,307,Male,31,3-year college,,0.0,0,0.0,51900.0,Urban,5.0,4.0,5.0,3.0,0.0,1,3.0,3.0,1.0,56.0,56.0
3317,3316,3826,307,Female,26,4-year college/Bachelor's degree or above,han,1.0,0,100000.0,51900.0,Urban,5.0,5.0,5.0,3.0,0.5,1,3.0,2.0,1.0,56.0,56.0
3332,3333,3857,308,Female,43,Junior high school or below,han,0.0,1,40000.0,13000.0,Rural,3.0,4.0,2.0,2.0,2.0,1,3.0,22.0,1.0,74.0,74.0
3333,3332,3857,308,Male,48,Junior high school or below,han,0.0,1,0.0,13000.0,Rural,5.0,4.0,4.0,3.0,2.0,1,1.0,22.0,1.0,74.0,74.0
3340,3341,3868,308,Male,39,Junior high school or below,han,0.0,1,0.0,28000.0,Rural,5.0,3.0,3.0,5.0,0.0,1,4.0,15.0,1.0,66.0,66.0
3341,3340,3868,308,Female,39,Junior high school or below,han,0.0,1,36000.0,28000.0,Rural,5.0,4.0,2.0,3.0,1.0,1,4.0,15.0,1.0,66.0,66.0
3405,3404,3951,308,Male,29,4-year college/Bachelor's degree or above,han,0.0,1,0.0,31571.43,Urban,5.0,5.0,5.0,4.0,1.0,1,3.0,1.0,1.0,52.0,52.0
3404,3405,3951,308,Female,29,4-year college/Bachelor's degree or above,han,0.0,1,85000.0,31571.43,Urban,4.0,4.0,4.0,4.0,1.0,1,4.0,1.0,1.0,52.0,52.0
3472,3473,4043,312,Female,42,Junior high school or below,han,0.0,1,20000.0,5750.0,Urban,5.0,5.0,4.0,5.0,6.0,1,1.0,18.0,1.0,64.0,64.0
3473,3472,4043,312,Male,41,Junior high school or below,han,0.0,1,0.0,5750.0,Urban,5.0,5.0,5.0,4.0,0.0,1,2.0,18.0,1.0,64.0,64.0
3490,3491,4054,312,Male,46,Junior high school or below,han,1.0,2,0.0,10600.0,Rural,5.0,5.0,5.0,3.0,1.0,1,3.0,13.0,1.0,73.0,73.0
3491,3490,4054,312,Female,40,Junior high school or below,han,1.0,2,20000.0,10600.0,Rural,3.0,2.0,5.0,5.0,2.0,1,3.0,13.0,1.0,73.0,73.0
3519,3518,4116,314,Male,38,Junior high school or below,han,1.0,1,0.0,26133.33,Rural,5.0,5.0,5.0,3.0,0.0,1,3.0,13.0,1.0,62.0,62.0
3518,3519,4116,314,Female,37,Junior high school or below,han,1.0,1,35300.0,26133.33,Rural,4.0,5.0,2.0,4.0,2.0,1,4.0,13.0,1.0,62.0,62.0
3528,3529,4124,314,Male,50,Junior high school or below,han,0.0,2,0.0,24200.0,Urban,5.0,5.0,4.0,5.0,0.0,1,2.0,19.0,0.0,91.0,89.0
3529,3528,4124,314,Female,50,Junior high school or below,han,0.0,2,51000.0,24200.0,Urban,5.0,5.0,3.0,5.0,3.0,1,5.0,19.0,0.0,85.0,89.0
